날짜,스트레스,집값
2017-08-12,10.9417,10.85201
2017-08-13,11.83856,11.5695
2017-08-14,13.63228,14.70852
2017-08-15,11.12107,15.60538
2017-08-16,13.63228,15.60538
2017-08-17,13.18385,20.6278
2017-08-18,14.26008,16.23318
2017-08-19,11.83856,12.55605
2017-08-20,11.5695,15.06726
2017-08-21,16.32286,13.00448
2017-08-22,15.06726,15.69506
2017-08-23,16.05381,17.04035
2017-08-24,12.91479,15.24663
2017-08-25,15.24663,18.56502
2017-08-26,10.22421,13.72197
2017-08-27,10.22421,10.40358
2017-08-28,15.24663,14.7982
2017-08-29,12.55605,11.74887
2017-08-30,14.34977,9.77578
2017-08-31,14.26008,12.1973
2017-09-01,11.47982,12.64573
2017-09-02,10.76233,10.49327
2017-09-03,10.76233,8.87892
2017-09-04,15.78475,9.77578
2017-09-05,15.33632,12.28699
2017-09-06,18.0269,9.50672
2017-09-07,16.59192,11.5695
2017-09-08,13.5426,10.13452
2017-09-09,9.95515,10.3139
2017-09-10,12.1973,9.32735
2017-09-11,14.7982,10.22421
2017-09-12,17.93721,9.68609
2017-09-13,16.32286,10.85201
2017-09-14,14.7982,11.39013
2017-09-15,12.64573,9.32735
2017-09-16,11.92825,10.40358
2017-09-17,9.05829,9.14798
2017-09-18,18.6547,11.47982
2017-09-19,13.45291,15.33632
2017-09-20,17.66816,9.77578
2017-09-21,13.18385,11.03139
2017-09-22,14.97757,10.76233
2017-09-23,11.74887,10.13452
2017-09-24,13.81165,9.77578
2017-09-25,18.29596,11.47982
2017-09-26,17.84753,10.49327
2017-09-27,15.60538,10.85201
2017-09-28,14.97757,11.47982
2017-09-29,12.37668,6.72645
2017-09-30,9.68609,7.53363
2017-10-01,9.59641,8.3408
2017-10-02,11.65919,7.35426
2017-10-03,7.713,6.63677
2017-10-04,7.44394,5.65022
2017-10-05,8.25112,5.02242
2017-10-06,8.60986,8.87892
2017-10-07,9.41704,8.52017
2017-10-08,12.01793,8.3408
2017-10-09,15.15695,10.22421
2017-10-10,18.11659,11.03139
2017-10-11,16.23318,11.74887
2017-10-12,14.08071,12.01793
2017-10-13,12.37668,10.9417
2017-10-14,9.50672,11.21076
2017-10-15,12.37668,9.50672
2017-10-16,14.7982,9.86547
2017-10-17,14.88789,10.22421
2017-10-18,14.61883,12.1973
2017-10-19,15.06726,11.12107
2017-10-20,12.28699,8.69955
2017-10-21,10.9417,11.03139
2017-10-22,11.92825,10.22421
2017-10-23,16.59192,13.27354
2017-10-24,15.60538,15.87443
2017-10-25,15.51569,17.3991
